/////////////////////////////////////////////////////////////////////////////////////////////////////
/////キャラクター定義//////////

#CharTable
//■■■■■■■■■■■■■■■■■■■■■■■■■■■■■■■■■■■■■■■■■■■■■■■■■■■■■■■■■■■■■■■■■■■■■
//主人公	≪ 0～19 ≫
//■■■■■■■■■■■■■■■■■■■■■■■■■■■■■■■■■■■■■■■■■■■■■■■■■■■■■■■■■■■■■■■■■■■■■
//
//　　　　　　　　　　　　　　　　　　※※　キャラ手帳の並びと合わせて、順を変更しました。　※※
//
//					 フ		  モ		属性
//					 ァ		  ｜							前  |弾氷|noTt|noUV		経	  |
//					 イ		  ｼｮ  ﾀ レ			H O	D		後  |Down|noCL|noAr		験	金|アイテム(NO＋1000％)
//	名				 ル		  ン  ｲ ベ			P P P		上  |Up  |mMAP|noEF		値金個|①		②		③
//	前				 名		  NO  ﾌﾟル			％＋＋		ﾉｯｸ |STAN|noDW|noMV		％％数|NO％	NO％	NO％			説明
//――――――――――――――――――――――――――――――――――――――――――――――――――――――――――――――――
///	名前（８文字） 	 FILE	 Mot  T LV	属性	HP  OP DP	防御|ﾀﾞｳﾝ|状態|予約		EPGPGcITEM % ITEM %	ITEM %			説明（６４文字）
//				例） MxK+G4B9 	魔法無効/火吸収/剣四倍/爆弾一撃
//
//					 フ		 モ			属性
//					 ァ		 ｜								前  |弾氷|noIt|noUV		経	  |
//					 イ		 ｼｮ	  ﾀ レ			H O	D		後  |Down|noCL|noAr		験	金|アイテム(NO＋1000％)
//	名				 ル		 ン	  ｲ ベ			P P P		上  |Up  |mMAP|noEF		値金個|①		②
//	前				 名		 NO	  ﾌﾟル			％＋＋		ﾉｯｸ |STAN|noDW|noMV		％％数|NO％	NO％	年齢 icon+flag		説明
//――――――――――――――――――――――――――――――――――――――――――――――――――――――――――――――――
///	名前（８文字） 	 FILE	 Mot  T LV	属性	HP  OP DP	防御|ﾀﾞｳﾝ|状態|予約		EPGPGcITEM % ITEM %	ITEM %		説明（６４文字）
//---	■■■敵■■■■ ------	 --- - --	-----	--- -- --	-------------------		- - - ---- - ---- - ---- -	------
// 中ボス
373 ★虚弱ダミー	 EN_373  373  3 01	------	0	0	0	----|----|----|----		 0 0 0 ---- 0 ---- 0 ----   0	？？？
374 ★無双ダミー	 EN_373  374  3 01	GxMxKx	100	0 9999	----|----|----|----		 0 0 0 ---- 0 ---- 0 ----   0	？？？

// イベント戦闘用
379 ★分身スバル	 Ch_020  379  3 17	Bx---	-60 0  0 	---*|***-|**--|----		0 0	0 ---- 0 ---- 0	---- 0		？？？//ラグナに弟子入りした忍びの子。\n一生懸命だが、腕はまだまだ未熟。
380	★分身ペンギン	 Ch_081  380  3 30	Bx---	-80 0  0 	---*|****|**--|----		0 0	0 ---- 0 ---- 0	---- 0		？？？//某所に出没する呼び込みペンギン。\n色々間違っていても気付いてない。
381 うぃざーど		 EN_313  313  3 14	MHG2	0   0  0  	----|----|----|----		0 0 0 ---- 0 ---- 0 ---- 0		？？？
382 やまつつき		 EN_273  273  3 14	MHG2	0   0  0  	----|----|----|----		0 0 0 ---- 0 ---- 0 ---- 0		？？？
383 しゃどう		 EN_313  383  3 01	-----	300 4  0  	----|-**-|*---|----		0 0 0 ---- 0 ---- 0 ---- 0		？？？//アルウェンが召喚した影法師。\nラグナの力を試した。
384 ワイゼン村長	 Ch_065  384  3 13	MxGxBx	0  50  0 	*---|--*-|*-*-|----		0 0 0 ---- 0 ---- 0 ---- 0		？？？//ロアルタ村の村長を務める老人。\nザハールに操られている。
385 ラウニ			 Ch_066  385  3 13	MxGxBx	0  50  0 	*---|--*-|*-*-|----		0 0 0 ---- 0 ---- 0 ---- 0		？？？//村の生き字引的お婆ちゃん。\nザハールに操られている。
386 バラン			 Ch_067  386  3 13	MxGxBx	0  50  0 	*---|--*-|*-*-|----		0 0 0 ---- 0 ---- 0 ---- 0		？？？//村で誠実に働く心優しい青年。\nザハールに操られている。
387 アルベール		 Ch_068  387  3 13	MxGxBx	0  50  0 	*---|--*-|*-*-|----		0 0 0 ---- 0 ---- 0 ---- 0		？？？//農作業を行う几帳面なおじさん。\nザハールに操られている。
388 マーサ			 Ch_069  388  3 13	MxGxBx	0  50  0 	*---|--*-|*-*-|----		0 0 0 ---- 0 ---- 0 ---- 0		？？？//農作業を行う穏やかなおばさん。\nザハールに操られている。
389 フェデリカ		 Ch_070  389  3 13	MxGxBx	0  50  0 	*---|--*-|*-*-|----		0 0 0 ---- 0 ---- 0 ---- 0		？？？//村で家畜の世話をするお姉さん。\nザハールに操られている。

//	前  |前方向無敵			後  |後方向無敵				上  |上方向無敵				ﾉｯｸ |ノックﾊﾞｯｸしない
//	強弾|敵弾き技無効		Down|ダウンしない			Up  |浮かない				STAN|食らいモーションしない
//	傾き|マップ傾斜で傾く	noCL|クリップしない			mMAP|ミニマップ表示なし		noDW|
//	noUV|UVトラップ無視		noAr|風・水中トラップ無視	noEF|ダメージ他表示しない	noMV|固定
//
//属性書式	TSKH=地/水/火/風	MGB=魔法/剣/爆弾
//			+=吸収 x=無効 H=半減 2=二倍 4=四倍 9=一撃
//				例） MxK+G4B9 	魔法無効/火吸収/剣四倍/爆弾一撃
//
//					 フ		 モ			属性
//					 ァ		 ｜								前  |弾氷|傾き|noUV		経	  |
//					 イ		 ｼｮ	 ﾀ レ			H O	D		後  |Down|noCL|noAr		験	金|アイテム(NO＋1000％)
//	名				 ル		 ン	 ｲ ベ			P P P		上  |Up  |mMAP|noEF		値金個|①		②
//	前				 名		 NO	 ﾌﾟル			％＋＋		ﾉｯｸ |STAN|noDW|noMV		％％数|NO％	NO％	年齢 icon+flag		説明
//――――――――――――――――――――――――――――――――――――――――――――――――――――――――――――――――
///	名前（８文字） 		FILE	 Mot T LV	属性	HP  OP DP	防御|ﾀﾞｳﾝ|状態|予約		EPGPGcITEM % ITEM %	ITEM %		説明（６４文字）
// 闘技場
390	モーリス		 Ch_054  390  3  4	Bx---	200 0  0 	---*|-**-|**--|----		0 21 0 ---- 0 ---- 0	---- 0	X
391 スバル			 Ch_020  391  3 17	Bx---	250 0  0 	---*|***-|**--|----		0 20 0 ---- 0 ---- 0	---- 0	X
392 オデッサ		 Ch_019  392  3  7	Bx---	200 0  0 	---*|***-|**--|----		0 21 0 ---- 0 ---- 0	---- 0	X
393 フィオナ		 Ch_017  393  3 20	Bx---	300 0  0 	---*|***-|**--|----		0 20 0 ---- 0 ---- 0	---- 0	X
394 執事クロード	 Ch_018  394  3 23	Bx---	400 0  20 	---*|***-|**--|----		0 21 0 ---- 0 ---- 0	---- 0	X
395 魔女ラーライラ	 Ch_023  023  3  1	Bx---	200 0  0 	---*|***-|**--|----		0 21 0 ---- 0 ---- 0	---- 0	X
396 ポックル		 Ch_001  396  3 11	Bx---	200 0  0 	---*|***-|**--|----		0 20 0 ---- 0 ---- 0	---- 0	X
397 ピピロ			 ch_002  397  3 13	BxMH-	200 0  0 	---*|***-|**--|----		0 20 0 ---- 0 ---- 0	---- 0	X
398 ギャランドゥ	 Ch_021  398  3 27	Bx---	300 0  0 	---*|***-|**--|----		0 22 0 ---- 0 ---- 0	---- 0	X
399	呼び込みペンギン Ch_081  399  3 40	Bx---	400 10 40 	---*|***-|**--|----		0 44 0 ---- 0 ---- 0	---- 0	X

//敵 		≪ 400～499 ≫ＢＯＳＳ
////////////////////////////////////////////////////////////////////////////////////////////////////////////////////////////////////////////////
//	前  |前方向無敵			後  |後方向無敵				上  |上方向無敵				ﾉｯｸ |ノックﾊﾞｯｸしない
//	強弾|敵弾き技無効		Down|ダウンしない			Up  |浮かない				STAN|食らいモーションしない
//	noIt|アイテムでない		noCL|クリップしない			mMAP|ミニマップ表示なし		noDW|
//	noUV|UVトラップ無視		noAr|風・水中トラップ無視	noEF|ダメージ他表示しない	noMV|固定
//
//属性書式	TSKH=地/水/火/風	MGB=魔法/剣/爆弾
//			+=吸収 x=無効 H=半減 2=二倍 4=四倍 9=一撃
//				例） MxK+G4B9 	魔法無効/火吸収/剣四倍/爆弾一撃
//
//					 フ		 モ			属性
//					 ァ		 ｜								前  |弾氷|noIt|noUV		経	  |
//					 イ		 ｼｮ	 ﾀ レ			H O	D		後  |Down|noCL|noAr		験	金|アイテム(NO＋1000％)
//	名				 ル		 ン	 ｲ ベ			P P P		上  |Up  |mMAP|noEF		値金個|①		②
//	前				 名		 NO	 ﾌﾟル			％＋＋		ﾉｯｸ |STAN|noDW|noMV		％％数|NO％	NO％	年齢 icon+flag		説明
//――――――――――――――――――――――――――――――――――――――――――――――――――――――――――――――――
///	名前（８文字） 	 FILE	 Mot T LV	属性	HP  OP DP	防御|ﾀﾞｳﾝ|状態|予約		EPGPGcITEM % ITEM %	ITEM %		説明（６４文字）
//- ■■■敵■■■■ ------	 --- - --	-----	--- -- --	-------------------		- - - ---- - ---- - ---- -	------
//---	■■ＢＯＳＳ■■ ------  --- - --	-----	--- -- --	-------------------		- - - ---- - ---- - ---- -	------



420 ★サバディアン	 EN_420  420  3 04	MHG2	200 0  0   	----|----|*---|----		0 	0 	0 	---- 0 	---- 0 	---- 0		全身刃物アリジゴクボスyou
421 ★球石（破壊可） obx0614  -1  2 01	-----	15	0	0	---*|----|----|---*		0	0	0	---- 0	---- 0	---- 0		？？？
//EN_168
---	＿＿＿＿＿＿＿＿ ------	---	-	--	-----	--- -- --	-------------------		- - -	---- -	---- -	---- -	------
451 地の竜立方体石	 BS_451  451  3 10	-----	999	8  0 	---*|****|***-|----		0	0	0	---- 0	---- 0	---- 0		？？？
453 地の竜円柱石	 BS_453  453  3 10	-----	999	8  0 	---*|****|***-|----		0	0	0	---- 0	---- 0	---- 0		？？？
454 地の竜茂み		 BS_454  454  3 1	-----	1	0  0 	---*|****|***-|***-		0	0	0	---- 0	---- 0	---- 0		？？？

450 植物ボス触手左１ BS_450  450  3 11	K2		70	0  0 	---*|****|***-|****		10	0	0	---- 0	---- 0	---- 0		？？？
455 植物ボス触手左２ BS_450  455  3 11	K2		70	0  0 	---*|****|***-|****		10	0	0	---- 0	---- 0	---- 0		？？？
456 植物ボス触手左３ BS_450  456  3 11	K2		150	0  0 	---*|****|***-|****		10	0	0	---- 0	---- 0	---- 0		？？？
457 植物ボス触手左４ BS_450  457  3 11	K2		70	0  0 	---*|****|***-|****		10	0	0	---- 0	---- 0	---- 0		？？？
458 植物ボス触手右１ BS_450  458  3 11	K2		70	0  0 	---*|****|***-|****		10	0	0	---- 0	---- 0	---- 0		？？？
459 植物ボス触手右２ BS_450  459  3 11	K2		70	0  0 	---*|****|***-|****		10	0	0	---- 0	---- 0	---- 0		？？？
460 植物ボス触手右３ BS_450  460  3 11	K2		150	0  0 	---*|****|***-|****		10	0	0	---- 0	---- 0	---- 0		？？？
461 植物ボス触手右４ BS_450  461  3 11	K2		70	0  0 	---*|****|***-|****		10	0	0	---- 0	---- 0	---- 0		？？？

462 クモ足ＴＧ用 	 BS_452  452  3 3	Mx		300	0  0 	---*|****|**--|**--		0	0	0	---- 0	---- 0	---- 0		？？？
463 黒竜			 BS_407b 463  3 10	-----	999	8  0 	---*|****|**--|----		10	0	0	---- 0	---- 0	---- 0		？？？
464 白竜			 BS_407c 463  3 10	-----	999	8  0 	---*|****|**--|----		10	0	0	---- 0	---- 0	---- 0		？？？



//■■■■■■■■■■■■■■■■■■■■■■■■■■■■■■■■■■■■■■■■■■■■■■■■■■■■■■■■■■■■■■■■
//OBJ 		≪ 500～599 ≫オブジェ
//■■■■■■■■■■■■■■■■■■■■■■■■■■■■■■■■■■■■■■■■■■■■■■■■■■■■■■■■■■■■■■■■

///////////////////////////////////////////////////////////////////////////////////////////////////////////////////////////////////////
//
//					 フ		 モ			地-T
//					 ァ		 ｜			水-S				前  |弾氷|傾き|noUV		経
//					 イ		 ｼｮ	 ﾀレ	火-K				後  |Down|noCL|noAr		験		金	アイテム(NO＋1000％)
//	名				 ル		 ン	 ｲ ベ	風-H	HP	OP	DP	上  |Up  |mMAP|noEF		値	金	個	①		②		③
//	前				 名		 NO	 ﾌﾟル	剣-K	％	＋	＋	ﾉｯｸ |STAN|noDW|noMV		％	％	数	NO％	NO％	NO％		説明
//――――――――――――――――――――――――――――――――――――――――――――――――――――――――――――――――

// %OP ミニマップ表示
//	 1 階段下
//	 2 階段上
//   3 ゲート
//   5 扉
//  （未対応） 6 柵小
//  （未対応） 7 柵中
//  （未対応） 8 柵大
//  （未対応） 9 橋
//  10 宝箱
//	11 壷
//	12	台
//	13	その他壊れ（タル・砲台）
//	14	スイッチ（レバー・スイッチ・ゴング・ﾏﾒﾃﾞﾝｷｭ）
//	15	汎用

//---	■■ＯＢＪ■■■ ------  --- - --	-----	--- -- --	-------------------		- - - ---- - ---- - ---- -	------
//■■■ダンジョン専用■■■
//扉	500-511  	 FILE	  Mot  T LV	TSKHK	%HP	%OP	%DP	防御|ﾀﾞｳﾝ|状態|予約		%EP	%GP	GPc	ITEM %	ITEM %	ITEM %		説明（６４文字）
500 扉（塔）		 obx0030a 500  2 01	-----	0	5	0	---*|----|----|---*		10	0	0	---- 0	---- 0	---- 0		？？？
501 扉（森）		 obx0003a 500  2 01	-----	0	5	0	---*|----|----|---*		10	0	0	---- 0	---- 0	---- 0		？？？
502 扉（岩）		 obx0022a 500  2 01	-----	0	5	0	---*|----|----|---*		10	0	0	---- 0	---- 0	---- 0		？？？
503 扉（城内）		 ob50503a 500  2 01	-----	0	5	0	---*|----|----|---*		10	0	0	---- 0	---- 0	---- 0		？？？
504 扉（礼拝）		 ob50533a 500  2 01	-----	0	5	0	---*|----|----|---*		10	0	0	---- 0	---- 0	---- 0		？？？
505 扉（地下）		 obx0062a 500  2 01	-----	0	5	0	---*|----|----|---*		10	0	0	---- 0	---- 0	---- 0		？？？
506 扉（塔火炎扉）	 obx0270a 500  2 01	-----	0	5	0	---*|----|----|---*		10	0	0	---- 0	---- 0	---- 0		？？？
507 扉（神殿）		 ob20101a 500  2 01	-----	0	5	0	---*|----|----|---*		10	0	0	---- 0	---- 0	---- 0		？？？
508 扉（山）		 ob60001a 500  2 01	-----	0	5	0	---*|----|----|---*		10	0	0	---- 0	---- 0	---- 0		？？？
509 扉（異１）		 obx0132a 500  2 01	-----	0	5	0	---*|----|----|---*		10	0	0	---- 0	---- 0	---- 0		？？？
510 扉（ラスダン）	 obx0360a 510  2 01	-----	0	5	0	---*|----|-*--|---*		10	0	0	---- 0	---- 0	---- 0		？？？
511 扉（Ｇコロ）	 ob00082a 500  2 01	-----	0	5	0	---*|----|----|---*		10	0	0	---- 0	---- 0	---- 0		？？？

//階段512-539	  	 FILE	  Mot  T LV	TSKHK	%HP	%OP	%DP	防御|ﾀﾞｳﾝ|状態|予約		%EP	%GP	GPc	ITEM %	ITEM %	ITEM %		説明（６４文字）
512 階段下（Ｇコロ） ob40010a   0  2 01	-----	0	1	0	---*|----|-*--|---*		0	0	0	---- 0	---- 0	---- 0		？？？
513 階段上（Ｇコロ） ob40000a   0  2 01	-----	0	2	0	---*|----|-*--|---*		0	0	0	---- 0	---- 0	---- 0		？？？
514 階段下（山）	 ob60011a   0  2 01	-----	0	1	0	---*|----|-*--|---*		0	0	0	---- 0	---- 0	---- 0		？？？
515 階段上（山）	 ob60021a   0  2 01	-----	0	2	0	---*|----|-*--|---*		0	0	0	---- 0	---- 0	---- 0		？？？
516 階段下（異１）	 obx0102a   0  2 01	-----	0	1	0	---*|----|-*--|---*		0	0	0	---- 0	---- 0	---- 0		？？？
517 階段上（異１）	 obx0112a   0  2 01	-----	0	2	0	---*|----|-*--|---*		0	0	0	---- 0	---- 0	---- 0		？？？
518 階段下（ラス）	 ob80050a   0  2 01	-----	0	1	0	---*|----|-*--|---*		0	0	0	---- 0	---- 0	---- 0		？？？	//set_objで配置するため、MAPへ移動。
519 階段上（ラス）	 ob80030a   0  2 01	-----	0	2	0	---*|----|-*--|---*		0	0	0	---- 0	---- 0	---- 0		？？？	//set_objで配置するため、MAPへ移動。
520 階段下（塔）	 ob40010a   0  2 01	-----	0	1	0	---*|----|-*--|---*		0	0	0	---- 0	---- 0	---- 0		？？？
521 階段上（塔）	 ob40000a   0  2 01	-----	0	2	0	---*|----|-*--|---*		0	0	0	---- 0	---- 0	---- 0		？？？
522 階段下（岩）	 obx0012a   0  2 01	-----	0	1	0	---*|----|----|---*		0	0	0	---- 0	---- 0	---- 0		？？？
523 階段上（岩）	 obx0002a   0  2 01	-----	0	2	0	---*|----|----|---*		0	0	0	---- 0	---- 0	---- 0		？？？
524 階段下（城内）	 ob50523a   0  2 01	-----	0	1	0	---*|----|----|---*		0	0	0	---- 0	---- 0	---- 0		？？？
525 階段上（城内）	 ob50513a   0  2 01	-----	0	2	0	---*|----|----|---*		0	0	0	---- 0	---- 0	---- 0		？？？
526 階段下（礼拝）	 ob50553a   0  2 01	-----	0	1	0	---*|----|----|---*		0	0	0	---- 0	---- 0	---- 0		？？？
527 階段上（礼拝）	 ob50543a   0  2 01	-----	0	2	0	---*|----|----|---*		0	0	0	---- 0	---- 0	---- 0		？？？
528 階段入（森緑）	 obx0013a   0  2 01	-----	0	1	0	---*|----|----|---*		0	0	0	---- 0	---- 0	---- 0		？？？
539 階段出（森緑）	 obx0023a   0  2 01	-----	0	2	0	---*|----|----|---*		0	0	0	---- 0	---- 0	---- 0		？？？
530 階段下（地下）	 obx0052a   0  2 01	-----	0	1	0	---*|----|----|---*		0	0	0	---- 0	---- 0	---- 0		？？？
531 階段上（地下）	 obx0042a   0  2 01	-----	0	2	0	---*|----|----|---*		0	0	0	---- 0	---- 0	---- 0		？？？
532 階段入（森金）	 obx0013b   0  2 01	-----	0	1	0	---*|----|----|---*		0	0	0	---- 0	---- 0	---- 0		？？？
533 階段出（森金）	 obx0023b   0  2 01	-----	0	2	0	---*|----|----|---*		0	0	0	---- 0	---- 0	---- 0		？？？
534 階段入（森紫）	 obx0013c   0  2 01	-----	0	1	0	---*|----|----|---*		0	0	0	---- 0	---- 0	---- 0		？？？
535 階段出（森紫）	 obx0023c   0  2 01	-----	0	2	0	---*|----|----|---*		0	0	0	---- 0	---- 0	---- 0		？？？
536 階段下（神殿）	 ob20111a   0  2 01	-----	0	1	0	---*|----|----|---*		0	0	0	---- 0	---- 0	---- 0		？？？
537 階段上（神殿）	 ob20121a   0  2 01	-----	0	2	0	---*|----|----|---*		0	0	0	---- 0	---- 0	---- 0		？？？

//アーチ540-555  	 FILE	  Mot  T LV	TSKHK	%HP	%OP	%DP	防御|ﾀﾞｳﾝ|状態|予約		%EP	%GP	GPc	ITEM %	ITEM %	ITEM %		説明（６４文字）
540 アーチ（塔）	 ob40020a   0  2 01	-----	0	3	0	---*|----|-*--|---*		0	0	0	---- 0	---- 0	---- 0		？？？
542 アーチ（地下）	 obx0072a   0  2 01	-----	0	3	0	---*|----|-*--|---*		0	0	0	---- 0	---- 0	---- 0		？？？
543 アーチ（森緑）	 obx0033a   0  2 01	-----	0	3	0	---*|----|-*--|---*		0	0	0	---- 0	---- 0	---- 0		？？？
544 アーチ（森金）	 obx0033b   0  2 01	-----	0	3	0	---*|----|-*--|---*		0	0	0	---- 0	---- 0	---- 0		？？？
545 アーチ（森紫）	 obx0033c   0  2 01	-----	0	3	0	---*|----|-*--|---*		0	0	0	---- 0	---- 0	---- 0		？？？
546 アーチ（神殿）	 ob20131a   0  2 01	-----	0	3	0	---*|----|-*--|---*		0	0	0	---- 0	---- 0	---- 0		？？？
547 アーチ（山）	 ob60031a   0  2 01	-----	0	3	0	---*|----|-*--|---*		0	0	0	---- 0	---- 0	---- 0		？？？
548 アーチ（異１）	 obx0122a   0  2 01	-----	0	3	0	---*|----|-*--|---*		0	0	0	---- 0	---- 0	---- 0		？？？
549 昇降床（ラスト） obx0380a 549  2 01	-----	0	3	0	---*|----|-*--|---*		10	0	0	---- 0	---- 0	---- 0		？？？
550 アーチ（廃坑）	 obx0032a   0  2 01	-----	0	3	0	---*|----|-*--|---*		0	0	0	---- 0	---- 0	---- 0		？？？
551 アーチ（Ｇコロ） ob00072a   0  2 01	-----	0	3	0	---*|----|-*--|---*		0	0	0	---- 0	---- 0	---- 0		？？？
553 アーチ（----）	 --------   0  2 01	-----	0	3	0	---*|----|-*--|---*		0	0	0	---- 0	---- 0	---- 0		？？？
554 アーチ（----）	 --------   0  2 01	-----	0	3	0	---*|----|-*--|---*		0	0	0	---- 0	---- 0	---- 0		？？？
555 アーチ（----）	 --------   0  2 01	-----	0	3	0	---*|----|-*--|---*		0	0	0	---- 0	---- 0	---- 0		？？？

//■■■汎用■■■
//宝箱	560-569  	 FILE	  Mot  T LV	TSKHK	%HP	%OP	%DP	防御|ﾀﾞｳﾝ|状態|予約		%EP	%GP	GPc	ITEM %	ITEM %	ITEM %		説明（６４文字）
560	宝箱（並）		 Ob00010  540  2 01	-----	0	10	0	---*|----|----|---*		0	0	0	---- 0	---- 0	---- 0		？？？
561	宝箱（上）		 Ob19001  540  2 01	-----	0	10	0	----|----|----|---*		0	0	0	---- 0	---- 0	---- 0		？？？
562	木箱			 Ob19011  540  2 01	-----	0	10	0	----|----|----|---*		0	0	0	---- 0	---- 0	---- 0		？？？
563	宝箱（炎）		 Ob19021  540  2 01	-----	0	10	0	----|----|----|---*		0	0	0	---- 0	---- 0	---- 0		？？？
564	塔土管			 ob40030a   0  2 01	-----	0	0	0	----|----|----|---*		0	0	0	---- 0	---- 0	---- 0		？？？

//ｽｲｯﾁ	570-579  	 FILE	  Mot  T LV	TSKHK	%HP	%OP	%DP	防御|ﾀﾞｳﾝ|状態|予約		%EP	%GP	GPc	ITEM %	ITEM %	ITEM %		説明（６４文字）
570 ボタンスイッチ	 ob09920  570  2 01	-----	0	14	0	---*|----|----|---*		0	0	0	---- 0	---- 0	---- 0		？？？
571 レバースイッチ	 ob09910  501  2 01	-----	0	14	0	---*|----|----|---*		0	0	0	---- 0	---- 0	---- 0		？？？
//台座	580-589  	 FILE	  Mot  T LV	TSKHK	%HP	%OP	%DP	防御|ﾀﾞｳﾝ|状態|予約		%EP	%GP	GPc	ITEM %	ITEM %	ITEM %		説明（６４文字）
//押せる590-599  	 FILE	  Mot  T LV	TSKHK	%HP	%OP	%DP	防御|ﾀﾞｳﾝ|状態|予約		%EP	%GP	GPc	ITEM %	ITEM %	ITEM %		説明（６４文字）
590	重し（移動可）	 obx0590    0  2 01	-----	0	14	0	---*|----|---*|----		10	0	0	---- 0	---- 0	---- 0		？？？

//壊せる600-619  	 FILE	  Mot  T LV	TSKHK	%HP	%OP	%DP	防御|ﾀﾞｳﾝ|状態|予約		%EP	%GP	GPc	ITEM %	ITEM %	ITEM %		説明（６４文字）
//システム620-629	 FILE	  Mot  T LV	TSKHK	%HP	%OP	%DP	防御|ﾀﾞｳﾝ|状態|予約		%EP	%GP	GPc	ITEM %	ITEM %	ITEM %		説明（６４文字）
620 セーブ（茶屋）	 obx0050    0  2 01	-----	0	14	0	---*|----|----|---*		0	0	0	---- 0	---- 0	---- 0		？？？
621 汎用水板		 obx0300    0  2 01	-----	0	0	0	---*|----|--*-|---*		0	0	0	---- 0	---- 0	---- 0		？？？
622 ゴール用天使	 obx0040    0  2 01	-----	0	0	0	---*|----|-*--|---*		0	0	0	---- 0	---- 0	---- 0		？？？
623 ガスコンロ		 obx0010  623  2 01	-----	0	0	0	---*|----|----|---*		0	0	0	---- 0	---- 0	---- 0		？？？
624 回転刃			 obx0020  624  2 01	-----	0	15	0	---*|----|----|---*		0	0	0	---- 0	---- 0	---- 0		？？？
626 スロットマシン	 obx0014  626  2 01	-----	0	14	0	---*|----|----|---*		0	0	0	---- 0	---- 0	---- 0		？？？
627 柵小			 obx0024    0  2 01	-----	0	6	0	---*|----|--*-|---*		10	0	0	---- 0	---- 0	---- 0		？？？
628 柵大			 obx0034    0  2 01	-----	0	8	0	---*|----|--*-|---*		10	0	0	---- 0	---- 0	---- 0		？？？
629 トゲ壁			 obx0054  629  2 01	-----	0	5	0	---*|----|----|---*		0	0	0	---- 0	---- 0	---- 0		？？？
630 タル			 obx0064   -1  2 01	-----	2	13	0	---*|----|----|---*		0	0	0	---- 0	---- 0	---- 0		？？？
631 爆弾タル		 obx0074   -1  2 01	-----	2	13	0	---*|----|----|---*		0	0	0	---- 0	---- 0	---- 0		？？？
632 バリケード		 obx0084   -1  2 01	-----	4	13	0	---*|----|--*-|---*		0	0	0	---- 0	---- 0	---- 0		？？？
633 ヒビ壁			 obx0094   -1  2 01	-----	5	13	0	---*|----|--*-|---*		0	0	0	---- 0	---- 0	---- 0		？？？
634 ハニワ			 obx0104   -1  2 01	-----	0	11	0	---*|----|-*--|---*		0	0	0	---- 0	---- 0	---- 0		？？？
635 顔の置物		 obx0114   -1  2 01	-----	3	13	0	---*|----|----|---*		0	0	0	---- 0	---- 0	---- 0		？？？
636 風船			 obx0124  636  2 01	-----	0	14	0	---*|----|----|---*		0	0	0	---- 0	---- 0	---- 0		？？？
637 氷の柱			 obx0134  637  2 01	-----	0	13	0	---*|----|----|---*		10	0	0	---- 0	---- 0	---- 0		？？？
638 火の柱			 obx0144  638  2 01	-----	0	13	0	---*|----|----|---*		10	0	0	---- 0	---- 0	---- 0		？？？
639 砂の柱			 obx0154  639  2 01	-----	0	13	0	---*|----|----|---*		10	0	0	---- 0	---- 0	---- 0		？？？
640 風の柱			 obx0164  640  2 01	-----	0	13	0	---*|----|----|---*		10	0	0	---- 0	---- 0	---- 0		？？？
641 パラボラアンテナ obx0174   -3  2 01	-----	0	15	0	---*|----|----|---*		0	0	0	---- 0	---- 0	---- 0		？？？
642 岩				 obx0184   -2  2 01	-----	0	13	0	---*|----|----|---*		0	0	0	---- 0	---- 0	---- 0		？？？
643 キノコ			 obx0194  643  2 01	-----	0	14	0	---*|----|---*|---*		10	0	0	---- 0	---- 0	---- 0		？？？
644 ショート女神像	 obx0204    0  2 01	-----	0	14	0	---*|----|---*|---*		0	0	0	---- 0	---- 0	---- 0		？？？
645 ショート台座	 obx0214    0  2 01	-----	0	12	0	---*|----|--*-|---*		0	0	0	---- 0	---- 0	---- 0		？？？
646 ロング女神像	 obx0224    0  2 01	-----	0	14	0	---*|----|---*|---*		0	0	0	---- 0	---- 0	---- 0		？？？
647 ロング台座		 obx0234    0  2 01	-----	0	12	0	---*|----|--*-|---*		0	0	0	---- 0	---- 0	---- 0		？？？
648 レベルプレート	 obx0244  648  2 01	-----	0	14	0	---*|----|--*-|---*		0	0	0	---- 0	---- 0	---- 0		？？？
649 フットスイッチ	 obx0254  649  2 01	-----	0	14	0	---*|----|----|---*		0	0	0	---- 0	---- 0	---- 0		？？？
650 苗床			 obx0264    0  2 01	-----	0	12	0	---*|----|--*-|---*		0	0	0	---- 0	---- 0	---- 0		？？？
651 地蔵			 obx0016    0  2 01	-----	0	0	0	---*|----|----|---*		0	0	0	---- 0	---- 0	---- 0		？？？
652 ブランク床		 obx0284    0  2 01	-----	0	0	0	---*|----|--*-|---*		0	0	0	---- 0	---- 0	---- 0		？？？
653 リフト用ロープ	 obx0294  653  2 01	-----	0	0	0	---*|----|--*-|---*		0	0	0	---- 0	---- 0	---- 0		？？？
654 ルート案内		 obx0304  654  2 01	-----	0	0	0	---*|----|----|---*		0	0	0	---- 0	---- 0	---- 0		？？？
655 順路案内		 obx0314  655  2 01	-----	0	0	0	---*|----|----|---*		0	0	0	---- 0	---- 0	---- 0		？？？
656 信号			 obx0324  656  2 01	-----	0	0	0	---*|----|----|---*		0	0	0	---- 0	---- 0	---- 0		？？？
657 ハテナ看板		 obx0334    0  2 01	-----	0	0	0	---*|----|----|---*		0	0	0	---- 0	---- 0	---- 0		？？？
658 中ボス看板		 obx0344    0  2 01	-----	0	0	0	---*|----|----|---*		0	0	0	---- 0	---- 0	---- 0		？？？
